comment,rating_star,itemid
"Value For Money:worth buying
Product Quality:good
Best Feature:slim & handy

The parcel arrived in just a few days. It was packed well kaya yung boxes ay protected from yupi. Maayos dumating yung 10pcs at walang yupi - just right pang regalo kasi. ROMOSS brand, may hologram at sealed lahat. Good gift idea for professionals who are on the go always. I haven't opened or check yet, pero sana walang problema",5,11631812108
"Best Feature:Barong bago, silyado pa.
Value For Money:Sullit na sulit.
Product Quality:Very Good.

Maganda, I am very happy with the item.",5,11631812108
"Looks good. Nagagamit naman ng maayos. Nachacharge din. Tama rin ang naideliver. Di ko lng maalala kung black nga order ko. Hehehe. 

Thanks seller. 
Got it at P73 with 70% off sa live. Hehehe.",5,11631812108
"Value For Money:na bili lang ng mura very affordable tlaga thank you seller
Best Feature:magagamit ko talaga ito salamat Po ng marami
Product Quality:only 119

Thank you Po seller liget tlaga siya at subrang mura lang",5,11631812108
"Product Quality:maganda siya, skto sa kulay na kinuha k😊
Value For Money:mura medyo magaan pero ok na rin sa price nya, , than u seller, rate q ulet to kpg ngmit ko na😉😊",5,11631812108
"Value For Money:sulit
Product Quality:good
Best Feature:led display

Super fast delivery ⏩ 2days lng dumating agad early as expected, packaging 🎁 excellent bubble wrap with brown box 📦 sealed brand new ✅ no damage item was secured 🔐 mabigat muka namang matibay sana magtagal 2 socket pwede 2 i-charge 2000mah not bad for its price definitely a must buy sulit ...recommended shop/seller legit 5 star ⭐",5,11631812108
"Value For Money:sulit na sulit.
Best Feature:Silyado, Hindi pa nabubuksan.
Product Quality:Bagong Bago

Very happy with the item.",5,11631812108
"Product Quality:good
Value For Money:its good for the product

thank you seller for the product. hindi mo talaga ako binigo.",5,11631812108
"Value For Money:👌
Product Quality:✌️
Best Feature:👍

MATSALA and POWER kay KuyaBossRider for the safe delivery. The product are BEST QUALITY. All items are intact and no damages. It's great to know SELLER that your business can deliver SAFELY and QUICKLY. Thanks SELLER and more power SHOPPE. See you soon on another transaction. ✌️👌👍🤟",5,11631812108
"Value For Money:Good
Product Quality:Good

Ang ganda po ng product, sobrang ganda at mura pa sulit na sulit talaga mabilis din medjo mag charge... thank you",5,11631812108
"Product Quality:goods
Best Feature:nice
Value For Money:affordable

Okay lang naman po siya mag depende po yung bar niya kung ilang oras niyo chinarge tas okay lang po siya overnight echarge",5,11631812108
"Value For Money:Worth it!
Product Quality:Di ko pa nta-try ng matagal.
Best Feature:Good

Nice packaging, mabilis lang din sya dumating. Maganda at astig ang style nya pati box hehe",5,11631812108
"Value For Money:affordable
Best Feature:color
Product Quality:okay naman gumagana

thanks seller
sa rider o delivery di ko alam bakit delayed
pero okay lng at least na received at walang damage sa loob ng parcel ko
salamat shopee",5,11631812108
"Product Quality:goods na goods
Best Feature:supper goodsss
Value For Money:sulitt ung money ko dito

Thankkk uu so much sellerr ang ganda ng pagka balot safe na safe at may pa raffle pa woww sana manalo aq hehe thankyou again seller💯💯💯❤️‍🩹❤️",5,11631812108
"Best Feature:10/10
Value For Money:10/10
Product Quality:nice

Ang Ganda ng powerbank gumagana namn🥰thank you sa seller ng bait nya then sa rider",5,11631812108
"Value For Money:9/10
Best Feature:black
Product Quality:nice

ok nmn maganda reponsive din sila seller serves its purpose namn need para pang extra battery mabilis n kasi nalowbat cp",5,11631812108
"Best Feature:ledlight
Value For Money:yes
Product Quality:low

Wag kang mag expect ng sobra dahil ang binayaran mo ay para lang sa saktong product na binili mo,pero 5 star parin dahil mabuti si seller at si rider",5,11631812108
"Best Feature:will try its my first time😍
Product Quality:effective legit nice powerbank
Value For Money:worth it so cheap

buy pa more",5,11631812108
"Value For Money:Okay na okay
Product Quality:SATISFIES
Best Feature:BEST OF BEST

Ang ganda ng packaging♥️ Thank you seller for this nice items♥️ I hope na sana magtagal ito at matagal ma lowbat♥️ Oorder ako dito ulit♥️",5,11631812108
"Best Feature:amazing
Value For Money:amazing
Product Quality:amazing

Love it good item👍👍👍👍",5,11631812108
"Product Quality:ok
Value For Money:nice
Best Feature:design

maayos naman nadeliver kaso nga lang mabilis malowbat once used hindi ko pa inuulit kaya medyo dissapointed ako but all in sakto in its price",3,11631812108
"Value For Money:good
Best Feature:it works
Product Quality:will tell you in about a month

It looks good and it works. Flash light is also working. Hope it will last.thanks seller and shopee.",5,11631812108
"Product Quality:normal
Best Feature:battery indicator
Value For Money:good

Fast shipping the packaging is very secure no damage to the powerbank I tried it already and it works well but it gets lowbat easily",4,11631812108
"Value For Money:worth it
Product Quality:good
Best Feature:very nice

Yeah thank you so much  well packed and nka sealed ba Yung power bank I will surely order again 😁 fast delivery",5,11631812108
"Best Feature:good
Product Quality:good

Aga po nyang dumating, expected ko bukas pa pero dumating na sya kanina.. maganda ung packaging nya, secured talaga nka bubble wrap pa at nka sealed din ung item sa loob.. naka open po ung flashlight pag open ko at lowbat po sya.. so far, okay nman sya... Tama din ung kulay na inorder ko... Sana magtagal sya at sana matagal malowbat

Chinarge ko nga pala sya ng 35-40 mins i think tas tinary ko icharge dun ung game console ko naka 4 bars po sya",5,11631812108
"Value For Money:yes
Best Feature:battery life
Product Quality:good

Well packed ang item when received. Super sleek design. Twenty thousand mah na for its very affordable price.",5,11631812108
"Best Feature:simple but elegant
Value For Money:affordable
Product Quality:physical ✅ pero not sure kung long lasting kase hnd na pwede magrate after few days

Upon testing yang 100 percent fully charge ng powerbank nya after 7% ng battery ng cp 75% agad not recommend for its price... I guess hnd lang sya 20,000 mAh🤔..sana seller be honest po tayo sa mAh.",4,11631812108
